"","ADJECTIVE","POS.FREQ","NEG.FREQ","TomDS"
"646","confessions",0,1,0
"647","confined",0,1,0
"648","conflict",0,1,0
"649","conflicted",0,1,0
"650","conflicting",0,1,0
"651","conflicts",0,1,0
"652","confound",0,1,0
"653","confounded",0,1,0
"654","confounding",0,1,0
"655","confront",0,1,0
"656","confrontation",0,1,0
"657","confrontational",0,1,0
"658","confuse",0,1,0
"659","confused",0,1,0
"660","confuses",0,1,0
"661","confusing",0,1,0
"662","confusion",0,1,0
"663","confusions",0,1,0
"664","congested",0,1,0
"665","congestion",0,1,0
"666","cons",0,1,0
"667","conscons",0,1,0
"668","conservative",0,1,0
"669","conspicuous",0,1,0
"670","conspicuously",0,1,0
"671","conspiracies",0,1,0
"672","conspiracy",0,1,0
"673","conspirator",0,1,0
"674","conspiratorial",0,1,0
"675","conspire",0,1,0
"676","consternation",0,1,0
"677","contagious",0,1,0
"678","contaminate",0,1,0
"679","contaminated",0,1,0
"680","contaminates",0,1,0
"681","contaminating",0,1,0
"682","contamination",0,1,0
"683","contempt",0,1,0
"684","contemptible",0,1,0
"685","contemptuous",0,1,0
"686","contemptuously",0,1,0
"687","contend",0,1,0
"688","contention",0,1,0
"689","contentious",0,1,0
"690","contort",0,1,0
"691","contortions",0,1,0
"692","contradict",0,1,0
"693","contradiction",0,1,0
"694","contradictory",0,1,0
"695","contrariness",0,1,0
"696","contravene",0,1,0
"697","contrive",0,1,0
"698","contrived",0,1,0
"699","controversial",0,1,0
"700","controversy",0,1,0
"701","convoluted",0,1,0
"702","corrode",0,1,0
"703","corrosion",0,1,0
"704","corrosions",0,1,0
"705","corrosive",0,1,0
"706","corrupt",0,1,0
"707","corrupted",0,1,0
"708","corrupting",0,1,0
"709","corruption",0,1,0
"710","corrupts",0,1,0
"711","corruptted",0,1,0
"712","costlier",0,1,0
"713","costly",0,1,0
"714","counter-productive",0,1,0
"715","counterproductive",0,1,0
"716","coupists",0,1,0
"717","covetous",0,1,0
"718","coward",0,1,0
"719","cowardly",0,1,0
"720","crabby",0,1,0
"721","crack",0,1,0
"722","cracked",0,1,0
"723","cracks",0,1,0
"724","craftily",0,1,0
"725","craftly",0,1,0
"726","crafty",0,1,0
"727","cramp",0,1,0
"728","cramped",0,1,0
"729","cramping",0,1,0
"730","cranky",0,1,0
"731","crap",0,1,0
"732","crappy",0,1,0
"733","craps",0,1,0
"734","crash",0,1,0
"735","crashed",0,1,0
"736","crashes",0,1,0
"737","crashing",0,1,0
"738","crass",0,1,0
"739","craven",0,1,0
"740","cravenly",0,1,0
"741","craze",0,1,0
"742","crazily",0,1,0
"743","craziness",0,1,0
"744","crazy",0,1,0
"745","creak",0,1,0
"746","creaking",0,1,0
"747","creaks",0,1,0
"748","credulous",0,1,0
"749","creep",0,1,0
"750","creeping",0,1,0
"751","creeps",0,1,0
"752","creepy",0,1,0
"753","crept",0,1,0
"754","crime",0,1,0
"755","criminal",0,1,0
"756","cringe",0,1,0
"757","cringed",0,1,0
"758","cringes",0,1,0
"759","cripple",0,1,0
"760","crippled",0,1,0
"761","cripples",0,1,0
"762","crippling",0,1,0
"763","crisis",0,1,0
"764","critic",0,1,0
"765","critical",0,1,0
"766","criticism",0,1,0
"767","criticisms",0,1,0
"768","criticize",0,1,0
"769","criticized",0,1,0
"770","criticizing",0,1,0
"771","critics",0,1,0
"772","cronyism",0,1,0
"773","crook",0,1,0
"774","crooked",0,1,0
"775","crooks",0,1,0
"776","crowded",0,1,0
"777","crowdedness",0,1,0
"778","crude",0,1,0
"779","cruel",0,1,0
"780","crueler",0,1,0
"781","cruelest",0,1,0
"782","cruelly",0,1,0
"783","cruelness",0,1,0
"784","cruelties",0,1,0
"785","cruelty",0,1,0
"786","crumble",0,1,0
"787","crumbling",0,1,0
"788","crummy",0,1,0
"789","crumple",0,1,0
"790","crumpled",0,1,0
"791","crumples",0,1,0
"792","crush",0,1,0
"793","crushed",0,1,0
"794","crushing",0,1,0
"795","cry",0,1,0
"796","culpable",0,1,0
"797","culprit",0,1,0
"798","cumbersome",0,1,0
"799","cunt",0,1,0
"800","cunts",0,1,0
"801","cuplrit",0,1,0
"802","curse",0,1,0
"803","cursed",0,1,0
"804","curses",0,1,0
"805","curt",0,1,0
"806","cuss",0,1,0
"807","cussed",0,1,0
"808","cutthroat",0,1,0
"809","cynical",0,1,0
"810","cynicism",0,1,0
"811","d*mn",0,1,0
"812","damage",0,1,0
"813","damaged",0,1,0
"814","damages",0,1,0
"815","damaging",0,1,0
"816","damn",0,1,0
"817","damnable",0,1,0
"818","damnably",0,1,0
"819","damnation",0,1,0
"820","damned",0,1,0
"821","damning",0,1,0
"822","damper",0,1,0
"823","danger",0,1,0
"824","dangerous",0,1,0
"825","dangerousness",0,1,0
"826","dark",0,1,0
"827","darken",0,1,0
"828","darkened",0,1,0
"829","darker",0,1,0
"830","darkness",0,1,0
"831","dastard",0,1,0
"832","dastardly",0,1,0
"833","daunt",0,1,0
"834","daunting",0,1,0
"835","dauntingly",0,1,0
"836","dawdle",0,1,0
"837","daze",0,1,0
"838","dazed",0,1,0
"839","dead",0,1,0
"840","deadbeat",0,1,0
"841","deadlock",0,1,0
"842","deadly",0,1,0
"843","deadweight",0,1,0
"844","deaf",0,1,0
"845","dearth",0,1,0
"846","death",0,1,0
"847","debacle",0,1,0
"848","debase",0,1,0
"849","debasement",0,1,0
"850","debaser",0,1,0
"851","debatable",0,1,0
"852","debauch",0,1,0
"853","debaucher",0,1,0
"854","debauchery",0,1,0
"855","debilitate",0,1,0
"856","debilitating",0,1,0
"857","debility",0,1,0
"858","debt",0,1,0
"859","debts",0,1,0
"860","decadence",0,1,0
"861","decadent",0,1,0
"862","decay",0,1,0
"863","decayed",0,1,0
"864","deceit",0,1,0
"865","deceitful",0,1,0
"866","deceitfully",0,1,0
"867","deceitfulness",0,1,0
"868","deceive",0,1,0
"869","deceiver",0,1,0
"870","deceivers",0,1,0
"871","deceiving",0,1,0
"872","deception",0,1,0
"873","deceptive",0,1,0
"874","deceptively",0,1,0
"875","declaim",0,1,0
"876","decline",0,1,0
"877","declines",0,1,0
"878","declining",0,1,0
"879","decrement",0,1,0
"880","decrepit",0,1,0
"881","decrepitude",0,1,0
"882","decry",0,1,0
"883","defamation",0,1,0
"884","defamations",0,1,0
"885","defamatory",0,1,0
"886","defame",0,1,0
"887","defect",0,1,0
"888","defective",0,1,0
"889","defects",0,1,0
"890","defensive",0,1,0
"891","defiance",0,1,0
"892","defiant",0,1,0
"893","defiantly",0,1,0
"894","deficiencies",0,1,0
"895","deficiency",0,1,0
"896","deficient",0,1,0
"897","defile",0,1,0
"898","defiler",0,1,0
"899","deform",0,1,0
"900","deformed",0,1,0
"901","defrauding",0,1,0
"902","defunct",0,1,0
"903","defy",0,1,0
"904","degenerate",0,1,0
"905","degenerately",0,1,0
"906","degeneration",0,1,0
"907","degradation",0,1,0
"908","degrade",0,1,0
"909","degrading",0,1,0
"910","degradingly",0,1,0
"911","dehumanization",0,1,0
"912","dehumanize",0,1,0
"913","deign",0,1,0
"914","deject",0,1,0
"915","dejected",0,1,0
"916","dejectedly",0,1,0
